,대표코드,품명,품번,경면(전면),임가공처
1,HF1-6,Denver Oak,10101-L209944/10,민자 (소프트엠보),
2,A3-15,Cordoba Pine,14-01016-120,UK,목림
3,A7-710,Laricio Pine Quer,14-01024-001,민자,"목림,승은산업,건창기업,제이제이"
4,B53-399,Laricio Pine Quer,14-01024-108,HS-1,승은산업
5,A7-709,Laricio Pine Quer,14-01024-108,민자,"목림,승은산업,건창기업,제이제이"
6,A7-842,Laricio Pine Quer,14-01024-110,민자,목림
7,A40-817,Laricio Pine Quer,14-01024-110,HM,목림(유사 SM)
8,A24-146,Altai Larch,14-01037-108,QT,"목림,승은산업, 제이제이데코"
9,A3-16,Altai Larch,14-01037-108,UK,목림
10,A24-264,Altai Larch,14-01037-111,QT,"목림,승은산업, 제이제이데코"
11,B59-560,Altai Larch,14-01037-111,LV,건창기업
12,A3-622,Altai Larch,14-01037-117,UK,목림
13,B45-445,Altai Larch,14-01037-117,L,건창기업
14,C8-48,LARIX KOMBI,14-01038-119,FB,
15,B45-792,Kassandra Pine,14-01061-005,L,
16,A7-708,Kassandra Pine,14-01061-005,민자,"목림,승은산업,건창기업,제이제이"
17,A3-504,Grenada Pine,14-01087-100,UK,목림
18,A39-595,Wisla Pine,14-01089-003,TK,목림(유사 J)
19,A3-17,Santorini Pine,14-01090-002,UK,목림
20,A4-652,Lathi Birch,14-05031-111,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
21,A39-579,Lathi Birch,14-05031-111,TK,목림(유사 J)
22,A3-72,Lathi Birch ,14-05031-111,UK,목림
23,B45-261,Imatra Birch,14-05054-105,L,건창기업
24,A24-360, Imatra Birch,14-05054-105,QT,"목림,승은산업, 제이제이데코"
25,A25-666,Imatra Birch,14-05054-105,J,건창기업(유사 TK)
26,A3-18,Imatra Birch,14-05054-105,UK,목림
27,B3-311,Imatra Birch,14-05054-107,UK,
28,B59-551,Imatra Birch,14-05054-107,LV,건창기업
29,C25-137, Imatra Birch,14-05054-107,J,
30,A14-117,Sundvall Birch,14-05057-001,WT,목림
31,A39-580,Wendelstein Oak,14-10003-172,TK,목림(유사 J)
32,B11-77,Wendelstein Oak,14-10003-172,PM,"목림, 건창기업"
33,A3-73,Wendelstein Oak,14-10003-172,UK,목림
34,B45-669,Wendelstein Oak,14-10003-172,L,
35,HF1-18,Wendelstein Oak,14-10003-밝은톤,민자 (소프트엠보),메라톤
36,A3-19,Colorado Oak,14-10004-105,UK,목림
37,HF1-16,Canyon Castle Oak,14-10016-중간톤,민자 (소프트엠보),메라톤
38,A3-74,Royal Planked Natural Oak,14-10019-108,UK,목림
39,A3-423,Royal Planked Natural Oak,14-10019-110,UK,목림
40,B45-791,Royal Planked Natural Oak,14-10019-110,L,
41,A25-225,Royal Planked Natural Oak,14-10019-110,J,건창기업(유사 TK)
42,B59-552,Royal Planked Natural Oak,14-10019-120,LV,건창기업
43,A7-472,Royal Planked Natural Oak,14-10019-120,민자,"목림,승은산업,건창기업,제이제이 데코 등"
44,A3-20,Royal Planked Natural Oak,14-10019-120,UK,목림
45,B45-670,Royal Planked Natural Oak,14-10019-120,L,
46,HF1-9,Royal Planked Natural Oak,14-10019-120,민자 (소프트엠보),메라톤
47,B3-849,Royal Planked Natural Oak,14-10019-131,UK,
48,B45-192,Royal Planked Natural Oak,14-10019-131,L,건창기업
49,B45-807,Royal Planked Natural Oak,14-10019-134,L,
50,B3-581,Royal Planked Natural Oak,14-10019-134,UK,
51,A39-749,Niagara Oak,14-10024-390,TK,목림(유사 J)
52,A3-21,Niagara Oak,14-10024-390,UK,목림
53,C45-66,Niagara Oak,14-10024-390,L,
54,A3-22,Niagara Oak,14-10024-392,UK,목림
55,A24-253,Niagara Oak ,14-10024-397,QT,"목림,승은산업, 제이제이데코"
56,A39-581,Niagara Oak,14-10024-397,TK,목림(유사 J)
57,A3-71,Niagara Oak ,14-10024-397,UK,목림
58,C45-65,Niagara Oak,14-10024-397,L,
59,HF2-11,Niagara Oak,14-10024-397,NM,메라톤
60,HF2-5,Niagara Oak,14-10024-407,NM,메라톤
61,C45-67,Niagara Oak,14-10024-407,L,
62,B43-8,Niagara Oak,14-10024-407,목림246,목림
63,A3-70,Niagara Oak ,14-10024-407,UK,목림
64,A24-254,Niagara Oak ,14-10024-407,QT,"목림,승은산업, 제이제이데코"
65,B45-193,Catania Oak,14-10033-001,L,건창기업
66,A3-245,Catania Oak,14-10033-001,UK,목림
67,B3-116,Catania Oak,14-10033-006,UK,목림
68,B39-95,Catania Oak,14-10033-006,TK,목림(유사 J)
69,B45-186,Matterhorn Oak,14-10035-004,L,건창기업
70,A3-23,Matterhorn Oak,14-10035-004,UK,목림
71,A3-364,Matterhorn Oak,14-10035-007,UK,목림
72,B43-9,Matterhorn Oak,14-10035-007,목림246,목림
73,A14-125,Alzey Oak,14-10054-002,WT,목림
74,A3-505,Chamonix Eiche,14-10059-105,UK,목림
75,A3-232,Oak Chamonix,14-10059-165,UK,목림
76,A3-855,Chamonix Oak,14-10059-186,UK,목림
77,A3-24,Valley Oak,14-10075-001,UK,목림
78,A3-116,Valley Oak,14-10075-101,UK,목림
79,A39-576,Real Rovere,14-10082-002,TK,목림(유사 J)
80,A3-179,Real Rovere,14-10082-002,UK,목림
81,A3-728,Real Rovere,14-10082-185,UK,목림
82,A39-577,Real Rovere,14-10082-185,TK,목림(유사 J)
83,C25-126,Real Rovere,14-10082-197,J,
84,B3-527,Real Rovere,14-10082-197,UK,
85,B45-671,Real Rovere,14-10082-197,L,
86,A39-586,Denver Oak,14-10101-120,TK,목림(유사 J)
87,A25-679,Denver Oak,14-10101-126,J,건창기업(유사 TK)
88,A3-463,Denver Oak,14-10101-126,UK,목림
89,A39-583,Denver Oak,14-10101-130,TK,목림(유사 J)
90,B45-926,Denver Oak,14-10101-131,L,
91,C3-71,Denver Oak,14-10101-131,UK,
92,A39-588,Denver Oak,14-10101-131,TK,목림(유사 J)
93,B45-593,Denver Oak,14-10101-132,L,
94,A3-417,Denver Oak,14-10101-132,UK,목림
95,A3-374,Denver Oak,14-10101-133,UK,목림
96,A39-584,Denver Oak,14-10101-133,TK,목림(유사 J)
97,B3-864,Denver Oak,14-10101-135,UK,
98,A39-587,Denver Oak,14-10101-135,TK,목림(유사 J)
99,A39-585,Denver Oak,14-10101-143,TK,목림(유사 J)
100,A14-118,Antique Oak Fhs,14-10110-101,WT,목림
101,B3-133,Antique Oak Fhs,14-10110-101,UK,목림
102,B45-385,Cheyenne Oak,14-10131-102,L,건창기업
103,B11-78,Cheyenne Oak,14-10131-102,PM,"목림, 건창기업"
104,A39-750,Cheyenne Oak,14-10131-102,TK,목림(유사 J)
105,A3-413,Cheyenne Oak,14-10131-102,UK,목림
106,A3-487,Cheyenne Oak,14-10131-103,UK,목림
107,A24-850,Cheyenne Oak,14-10131-103,QT,"목림,승은산업, 제이제이데코"
108,B45-454,Cheyenne Oak,14-10131-103,L,건창기업
109,A3-574,Cheyenne Oak,14-10131-106,UK,목림
110,B54-403,Cheyenne Oak,14-10131-106,ST,승은산업
111,B59-553,Cheyenne Oak,14-10131-106,LV,건창기업
112,B45-586,Cheyenne Oak ,14-10131-106,L,
113,A3-25,Belfort Oak,14-10137-004,UK,목림
114,B54-402,Belfort Oak,14-10137-004,ST,승은산업
115,T45-437,Belfort Oak,14-10137-004,L,건창기업
116,B3-388,Belfort Oak,14-10137-127,UK,
117,A3-26,Belfort Oak,14-10137-135,UK,목림
118,A3-273,Canterbury Oak,14-10144-002,UK,목림 
119,B3-52,Canyon White Wash Oak,14-10153-111,UK,목림
120,B11-79,Canyon White Wash Oak,14-10153-112,PM,"목림, 건창기업"
121,A3-614,Canyon Kalk Eiche Astlos,14-10153-112,UK,목림
122,A3-856,Canyon White Wash Oak,14-10153-113,UK,목림
123,B25-372,Canyon Kalk Eiche Astlos,14-10153-116,J,건창기업(유사 TK)
124,B3-371,Canyon Kalk Eiche Astlos,14-10153-116,UK,
125,B45-370,Canyon Kalk Eiche Astlos,14-10153-116,L,건창기업
126,A25-226,Xigaze Oak excl,14-10158-100,J,건창기업(유사 TK)
127,A3-845,Xigaze Oak excl,14-10158-100,UK,목림
128,HF2-24,Xigaze Oak excl,14-10158-100,NM,메라톤
129,C3-1,Xigaze Oak excl,14-10158-102,UK,
130,C45-2,Xigaze Oak excl,14-10158-102,L,
131,A24-89,Pasadena Oak,14-10167-004,QT,"목림,승은산업, 제이제이데코"
132,A24-145,Rijeka Oak,14-10168-002,QT,"목림,승은산업, 제이제이데코"
133,A3-294,Rijeka Oak,14-10168-002,UK,목림
134,A3-27,Santana Oak,14-10175-003,UK,목림
135,A3-234,Santana Oak,14-10175-004,UK,목림
136,A24-851,Santana Oak,14-10175-004,QT,"목림,승은산업, 제이제이데코"
137,A7-469,Santana Oak,14-10175-111,민자,"목림,승은산업,건창기업,제이제이 데코 등"
138,B45-591,Santana Oak,14-10175-111,L,
139,A39-729,Santana Oak,14-10175-111,TK,목림(유사 J)
140,A3-28,Santana Oak,14-10175-111,UK,목림
141,B11-80,Santana Oak,14-10175-124,PM,"목림, 건창기업"
142,A3-409,Santana Oak,14-10175-124,UK,목림
143,A3-506,Santana Oak,14-10175-131,UK,목림
144,B45-874,Santana Oak,14-10175-131,L,
145,A3-507,Santana Oak,14-10175-133,UK,목림
146,B45-850,Santana Oak,14-10175-175,L,
147,A3-274,Sonoma Oak,14-10183-001,UK,목림
148,A3-508,Sonoma Eiche,14-10183-102,UK,목림
149,B3-528,Sonoma Oak,14-10183-177,UK,
150,A3-509,Sonoma Eiche,14-10183-213,UK,목림
151,A7-467,Chambord Oak,14-10194-001,민자,"목림,승은산업,건창기업,제이제이 데코 등"
152,A3-466,Chambord Oak,14-10194-001,UK ,목림
153,A3-276,Canyon Mandarin Oak ,14-10194-002,UK,목림
154,A3-233,Canyon Mandarin Oak,14-10194-002,UK,목림
155,A7-470,Canyon Mandarin Oak,14-10194-002,민자,"목림,승은산업,건창기업,제이제이 데코 등"
156,A7-468,Canyon Mandarin Oak,14-10194-003,민자,"목림,승은산업,건창기업,제이제이 데코 등"
157,A3-465,Canyon Mandarin Oak,14-10194-003,UK,목림
158,A3-923,Chambord Oak,14-10195-001,UK,목림 
159,A3-29,Riviera Oak,14-10200-001,UK,목림
160,A7-471,Riviera Oak,14-10200-001,민자,"목림,승은산업,건창기업,제이제이 데코 등"
161,A25-682,Riviera Oak,14-10200-002,J,건창기업(유사 TK)
162,A7-464,Riviera Oak,14-10200-002,민자,"목림,승은산업,건창기업,제이제이 데코 등"
163,A3-30,Riviera Oak,14-10200-002,UK,목림
164,B45-790,Riviera Oak,14-10200-002,L,
165,A3-306,Riviera Oak,14-10200-003,UK,목림
166,A3-307,Riviera Oak,14-10200-128,UK,목림
167,A25-683,Riviera Oak,14-10200-128,J,건창기업(유사 TK)
168,A3-501,Ontario Oak,14-10201-102,UK,목림
169,C45-33,Ontario Oak,14-10201-103,LT,
170,A3-795,Ontario Oak,14-10201-103,UK,목림
171,B45-40,Ontario Eiche,14-10201-104,L,건창기업
172,B43-10,Ontario Eiche,14-10201-104,목림246,목림
173,A3-796,Ontario Eiche,14-10201-104,UK,목림
174,C25-125,Ontario Eiche,14-10201-104,J,
175,B3-64,Somerset Oak,14-10206-101,UK,목림
176,A14-120,Rovere Glamour,14-10218-002,WT,목림
177,B45-794,Kanas Oak,14-10223-114,L,
178,A24-256,Chesterfield Oak,14-10233-001,QT,"목림,승은산업, 제이제이데코"
179,A3-31,Chesterfield Oak,14-10233-001,UK,목림
180,B25-539,Chesterfield Oak,14-10233-001,J,
181,C59-87,Chesterfield Oak,14-10233-001,LV,
182,A24-257,Chesterfield Oak,14-10233-004,QT,"목림,승은산업, 제이제이데코"
183,B45-281,Chesterfield Oak,14-10233-004,L,건창기업
184,B59-558,Chesterfield Oak,14-10233-004,LV,건창기업
185,B43-283,Chesterfield Oak,14-10233-004,목림246,목림
186,A3-32,Chesterfield Oak,14-10233-004,UK,목림
187,B25-282,Chesterfield Oak,14-10233-004,J,건창기업(유사 TK)
188,B45-187,Chesterfield Oak,14-10233-111,L,건창기업
189,A3-184,Chesterfield Oak,14-10233-111,UK,목림
190,A4-649,Chesterfield Oak,14-10233-111,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
191,A3-301,Chesterfield Oak,14-10233-136,UK,목림
192,A3-424,Beaufort Oak,14-10239-001,UK,목림
193,B45-857,Beaufort Oak,14-10239-001,L,
194,A3-742,Creso Oak,14-10244-103,UK,목림
195,B11-81,Creso Oak,14-10244-103,PM,"목림, 건창기업"
196,B39-1,Creso Oak,14-10244-103,TK,목림(유사 J)
197,A3-510,Salinas Eiche,14-10246-100,UK,목림
198,A3-511,Salinas Eiche,14-10246-121,UK,목림
199,B45-318,Salinas Oak,14-10246-136,L,건창기업
200,B43-11,Salinas Oak,14-10246-136,목림246,목림
201,A3-198,Rovere Kendal,14-10263-003,UK,목림
202,A3-512,Riviera Oak,14-10300-108,UK,목림
203,B45-194,Catania Oak,14-10332-132,L,건창기업
204,B3-858,Catania Oak,14-10332-132,UK,
205,A3-187,Belfort Oak,14-10337-102,UK,목림
206,B3-671,Beaufort Oak CN,14-10339-001,UK,
207,A3-513,Canyon Monument Oak,14-10347-001,UK,목림
208,HF4-42,Canyon Monument Oak,14-10347-001,BF,
209,A3-503,Canyon Monument Oak CN,14-10347-103,UK,목림
210,A3-308,Canyon Kalk Eiche Astlos CN,14-10355-100,UK,목림
211,HF2-12,Canyon Kalk Eiche Astlos CN,14-10355-100,NM,메라톤
212,B3-216,canyon kalkeiche astlos,14-10355-103,UK,목림
213,B3-748,Rovere Kendal,14-10363-115,UK,목림
214,B3-529,Life Oak CN III,14-10367-102,UK,
215,A3-386,Armagh Oak excl. CN,14-10394-106,UK,목림
216,A3-385,Armagh Oak excl. CN,14-10394-108,UK,목림
217,A3-410,Armagh Oak excl. CN,14-10394-109,UK,목림
218,A3-387,Armagh Oak excl. CN,14-10394-110,UK,목림
219,A3-403,Borders Oak excl. CN,14-10395-104,UK,목림
220,A7-404,Borders Oak excl. CN,14-10395-104,민자,"목림,승은산업,건창기업,제이제이 데코 등"
221,A3-361,Cadiz Oak,14-10407-103,UK,목림
222,B39-91,Canyon Flagstaff Oak,14-10412-001,TK,목림(유사 J)
223,B3-150,Canyon Flagstaff Oak,14-10412-001,UK,목림
224,B39-92,Canyon Flagstaff Oak,14-10412-004,TK,목림(유사 J)
225,B3-148,Delano Oak,14-10418-001,UK,목림
226,B39-93,Delano Oak,14-10418-001,TK,목림(유사 J)
227,B3-114,Delano Oak,14-10418-003,UK,목림
228,B39-94,Delano Oak,14-10418-003,TK,목림(유사 J)
229,HF2-27,Delano Oak,14-10418-003,NM,메라톤
230,B45-466,Delano Oak,14-10418-003,L,
231,B45-197,Canyon Amundsen Oak,14-10428-001,L,건창기업
232,A3-248,Canyon Amundsen Oak,14-10428-001,UK,목림
233,A3-249,Biscaya Oak,14-10434-001,UK,목림
234,B45-195,Biscaya Oak,14-10434-001,L,건창기업
235,A25-278,Biscaya Oak,14-10434-001,J,건창기업(유사 TK)
236,A3-305,Cornwall Oak,14-10440-003,UK,목림
237,A3-384,Canyon Waterford ,14-10455-002,UK,목림
238,B3-54,Svendborg Eiche,14-10473-999,UK,목림
239,A14-126,Genuine Oak,14-10675-002,WT,목림
240,B3-97,Garden Oak,14-10735-001,UK,목림
241,HF2-25,Garden Oak,14-10735-001,NM,메라톤
242,HF2-26,Garden Oak,14-10735-003,NM,메라톤
243,B3-98,Garden Oak,14-10735-003,UK,목림
244,B3-149,Flagstaff Oak,14-10778-003,UK,목림
245,B3-96,Flagstaff Oak,14-10778-006,UK,목림
246,C45-131,Life Oak II,14-10946-101,L,
247,A3-929,Life Oak,14-10946-104,UK,목림
248,A3-857,Life Oak,14-10946-106,UK,목림
249,B3-670,Life Oak II,14-10946-109,UK,
250,B25-886,Life Oak II,14-10946-109,J,
251,A25-835,Life Oak,14-10946-116,J,건창기업(유사 TK)
252,HF2-3,Life Oak,14-10946-116,NM,메라톤
253,B45-41,Life Oak II,14-10946-116,L,건창기업
254,B59-554,Life Oak II,14-10946-117,LV,건창기업
255,A25-836,Life Oak,14-10946-117,J,건창기업(유사 TK)
256,HF4-20,Life Oak,14-10946-117,BF,
257,B45-42,Life Oak II,14-10946-117,L,건창기업
258,A39-818,Life Oak II,14-10946-117,TK,목림(유사 J)
259,B3-744,Life Oak II,14-10946-117,UK,
260,HF2-4,Life Oak,14-10946-117,NM,메라톤
261,HF2-7,Life Oak,14-10946-118,NM,메라톤
262,B25-887,Life Oak II,14-10946-118,J,
263,B45-188,Life Oak II,14-10946-118,L,건창기업
264,HF2-20,Life Oak II,14-10946-118(중복),NM,메라톤
265,B25-888,Life Oak II,14-10946-119,J,
266,B3-381,Life Oak II,14-10946-119,UK,
267,B45-189,Life Oak II,14-10946-119,L,건창기업
268,B3-433,Life Oak II,14-10946-120,UK,
269,B45-190,Life Oak II,14-10946-120,L,건창기업
270,B25-889,Life Oak II,14-10946-120,J,
271,HF2-14,Life Oak,14-10946-120,NM,메라톤
272,B25-890,Life Oak II,14-10946-122,J,
273,B59-561,Life Oak Ⅱ,14-10946-122,LV,건창기업
274,B25-891,Life Oak II,14-10946-123,J,
275,B45-468,Life Oak II,14-10946-123,L,
276,HF2-21,Life Oak II,14-10946-123,NM,메라톤
277,B25-892,Life Oak II,14-10946-124,J,
278,HF2-15,Life Oak,14-10946-124,NM,메라톤
279,HF4-21,Life Oak,14-10946-124,BF,
280,B45-576,Life Oak,14-10946-125,L,
281,B25-893,Life Oak II,14-10946-125,J,
282,B3-301,Life Oak ll,14-10946-125,UK,
283,B59-562,Life Oak Ⅱ,14-10946-125,LV,건창기업
284,B25-894,Life Oak II,14-10946-126,J,
285,B45-577,Life Oak,14-10946-126,L,
286,B3-293,Life Oak ll,14-10946-126,UK,목림
287,B3-538,Life Oak II,14-10946-127,UK,
288,B25-895,Life Oak II,14-10946-127,J,
289,B45-842,Life Oak,14-10946-130,L,
290,HF2-46,Life Oak,14-10946-조색8,NM,
291,A3-860,Coimbra Esche,14-11028-001,UK,목림
292,A24-854,Coimbra Esche,14-11028-001,QT,"목림,승은산업, 제이제이데코"
293,A3-514,Coimbra,14-11028-129,UK,목림
294,A39-582,Aveiro Ash,14-11033-129,TK,목림(유사 J)
295,B45-453,Aveiro Ash,14-11033-129,L,건창기업
296,A3-180,Aveiro Ash,14-11033-129,UK,목림
297,B45-444,Frassino Ryoba,14-11037-004,L,건창기업
298,A24-172,Frassino Ryoba,14-11037-004,QT,"목림,승은산업, 제이제이데코"
299,B3-297,Frassino Ryoba,14-11037-조색9,UK,목림
300,A3-606,Alcantara Oak,14-11043-001,UK,목림
301,A24-852,Palm Beach Ash,14-11049-002,QT,"목림,승은산업, 제이제이데코"
302,A3-447,Palm Beach Ash,14-11049-002,UK,목림
303,B45-452,Palm Beach Ash,14-11049-002,L,건창기업
304,A24-263,Palm Beach Ash,14-11049-106,QT,"목림,승은산업, 제이제이데코"
305,A3-181,Palm Beach Ash,14-11049-106,UK,목림
306,B38-164,Palm Beach Ash,14-11049-106,PNS,목림(피앤데코 경면) / 엇결
307,B45-451,Palm Beach Ash,14-11049-106,L,건창기업
308,A25-213,Palm Beach Ash,14-11049-106,J,건창기업(유사 TK)
309,B7-448,Palm Beach Ash,14-11049-106,민자,
310,B3-896,Palm Beach Ash,14-11049-109,UK,
311,B45-514,Palm Beach Ash,14-11049-109,L,
312,B45-262,Palm Beach Ash,14-11049-113,L,건창기업
313,A25-214,Palm Beach Ash,14-11049-113,J,건창기업(유사 TK)
314,A3-147,Palm Beach Ash,14-11049-113,UK,목림
315,A24-395,Plam Beach ash ,14-11049-114,QT,"목림,승은산업, 제이제이데코"
316,A25-215,Palm Beach Ash ,14-11049-114,J,건창기업(유사 TK)
317,HF2-13,Palm Beach Ash ,14-11049-114,NM,메라톤
318,B45-446,Palm Beach Ash,14-11049-114,L,건창기업
319,A3-76,Palm Beach Ash ,14-11049-114,UK,목림
320,HF2-23,Palm Beach Ash,14-11049-114(중복),NM,메라톤
321,B43-12,Palm Beach Ash,14-11049-115,목림246,목림
322,B24-162,Palm Beach Ash ,14-11049-115,QT,"목림,승은산업, 제이제이데코"
323,B38-163,Palm Beach Ash,14-11049-115,PNS,목림(피앤데코 경면) / 엇결
324,B45-447,Palm Beach Ash,14-11049-115,L,건창기업
325,A3-75,Palm Beach Ash ,14-11049-115,UK,목림
326,A25-216,Palm Beach Ash ,14-11049-115,J,건창기업(유사 TK)
327,B59-550,Palm Beach Ash,14-11049-115,LV,건창기업
328,A3-418,Palm Beach Ash ,14-11049-118,UK,목림
329,A25-217,Palm Beach Ash ,14-11049-118,J,건창기업(유사 TK)
330,A39-481,Palm Beach Ash ,14-11049-120,TK,목림(유사 J)
331,A3-367,Palm Beach Ash ,14-11049-120,UK,목림
332,B45-450,Palm Beach Ash,14-11049-120,L,건창기업
333,A24-394,Plam Beach ash ,14-11049-120,QT,"목림,승은산업, 제이제이데코"
334,A25-218,Palm Beach Ash ,14-11049-120,J,건창기업(유사 TK)
335,B45-449,Palm Beach Ash,14-11049-122,L,건창기업
336,A25-219,Palm Beach Ash ,14-11049-122,J,건창기업(유사 TK)
337,A24-766,Palm Beach Ash,14-11049-122,QT,"목림,승은산업, 제이제이데코"
338,A3-379,Palm Beach Ash ,14-11049-122,UK,목림
339,HF1-2,Palm Beach Ash ,14-11049-122,민자 (소프트엠보),메라톤
340,HF1-1,Palm Beach Ash ,14-11049-124,민자 (소프트엠보),메라톤
341,B45-384,Palm Beach Ash,14-11049-124,L,건창기업
342,B3-743,Palm Beach Ash,14-11049-124,UK,
343,B3-742,Palm Beach Ash,14-11049-136,UK,
